StringID,zh,en,ja
CHAR_001_NAME,何以真,Veris,
CHAR_001_INFO,新闻学专业的大三学生，从小在纹秋市长大。几年暑假，我受许久未联系的高中挚友邀请，在假期之际来到了芸台。,"A third-year journalism student who grew up in Wenqiu. This summer, I came to Yuntai during the holidays, invited by my long-lost best friend from high school.",
CHAR_DETAIL_001_TITLE,何以真,Veris,
CHAR_DETAIL_001_BODY0,新闻学专业的大三学生，从小在纹秋市长大。几年暑假，我受许久未联系的高中挚友邀请，在假期之际来到了芸台。,"A third-year journalism student who grew up in Wenqiu. This summer, I came to Yuntai during the holidays, invited by my long-lost best friend from high school.",
CHAR_DETAIL_001_BODY1,,,
CHAR_002_NAME,沈梦之,Noema,
CHAR_002_INFO,我高中时期最好的朋友，土生土长的芸台人。她在高中毕业后返回了芸台，大学期间却从未主动再联系过我，此次却突然邀请我前来芸台。,"My closest friend during high school, a native of Yuntai. After graduation, she returned to Yuntai and never reached out to me again during college—until this sudden invitation.",
CHAR_DETAIL_002_TITLE,沈梦之,Noema,
CHAR_DETAIL_002_BODY0,我高中时期最好的朋友，土生土长的芸台人。她在高中毕业后返回了芸台，大学期间却从未主动再联系过我，此次却突然邀请我前来芸台。,"My closest friend during high school, a native of Yuntai. After graduation, she returned to Yuntai and never reached out to me again during college—until this sudden invitation.",
CHAR_DETAIL_002_BODY1,,,
CHAR_003_NAME,周书,Page,
CHAR_003_INFO,隶属于芸台本地金兰观的道士。穿着道袍，神经似乎有些大条。,A Taoist priest affiliated with Jinlan Temple in Yuntai. Wears traditional robes and seems a bit scatterbrained.,
CHAR_DETAIL_003_TITLE,周书,Page,
CHAR_DETAIL_003_BODY0,隶属于芸台本地金兰观的道士。穿着道袍，神经似乎有些大条。,A Taoist priest affiliated with Jinlan Temple in Yuntai. Wears traditional robes and seems a bit scatterbrained.,
CHAR_DETAIL_003_BODY1,,,
CHAR_004_NAME,Boba,Boba,
CHAR_004_INFO,dwauihoiu2 udiowahdo2 ho82h o298gho 8dao828 7g8o2 g7a8od7g 28oiag7 8a8yeg872,dwauihoiu2 udiowahdo2 ho82h o298gho 8dao828 7g8o2 g7a8od7g 28oiag7 8a8yeg872,
CHAR_DETAIL_004_TITLE,ChracterINFO1,ChracterINFO1,
CHAR_DETAIL_004_BODY0,What it about,What it about,
CHAR_DETAIL_004_BODY1,What about it,What about it,
CHAR_005_NAME,Kiki2,Kiki2,
CHAR_005_INFO,wo shi kiki2,wo shi kiki2,
CHAR_DETAIL_005_TITLE,ChracterINFO1,ChracterINFO1,
CHAR_DETAIL_005_BODY0,What it about,What it about,
CHAR_DETAIL_005_BODY1,What about it,What about it,
EVENT_001_NAME,梦？还是现实？,Dream? Or Reality?,
EVENT_001_INFO,被诡异之物撕碎后，我从座位上惊醒。这是一场梦吗？可那些记忆如此清晰。而最重要的是——这一切还会再度重演吗？,"After being torn apart by something bizarre, I woke up in my seat. Was it all just a dream? Why do I remember it so clearly? And most importantly, will it all happen again?",
EVENT_DETAIL_001_TITLE,梦？还是现实？,Dream? Or Reality?,
EVENT_DETAIL_001_BODY0,被诡异之物撕碎后，我从座位上惊醒。这是一场梦吗？可那些记忆如此清晰。而最重要的是——这一切还会再度重演吗？,"After being torn apart by something bizarre, I woke up in my seat. Was it all just a dream? Why do I remember it so clearly? And most importantly, will it all happen again?",
EVENT_DETAIL_001_BODY1,,,
EVENT_002_NAME,芸台市内的可疑团体,Suspicious Group in Yuntai City,
EVENT_002_INFO,,,
EVENT_DETAIL_002_TITLE,芸台市内的可疑团体,Suspicious Group in Yuntai City,
EVENT_DETAIL_002_BODY0,身着兜帽长袍，用面具遮掩面貌的可疑团体——极乐戏团，近日正在芸台市中频繁活动。他们似乎将在芸台大会上进行表演，此时正为此积极宣传。并没有官方力量出面对他们进行驱赶。,"A suspicious group called the Troupe Elysium, cloaked in hooded robes and hiding their faces behind masks, has been active throughout Yuntai City lately. They seem to be preparing for a performance at the upcoming city festival and are actively promoting it. No official force has intervened to stop them.",
EVENT_DETAIL_002_BODY1,,,
EVENT_003_NAME,乞巧大会,Qiqiao Festival,
